"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,15,HI,Hawaii,108708,1367.4008908
WEST,Pacific,15,HI,Hawaii,118461,1507.607303
WEST,Pacific,15,HI,Hawaii,105354,1179.2990898
WEST,Pacific,15,HI,Hawaii,106599,2159.9731711
WEST,Pacific,15,HI,Hawaii,110543,1353.0311282
WEST,Pacific,15,HI,Hawaii,104260,1462.4105788
WEST,Pacific,15,HI,Hawaii,101754,1592.8705929
WEST,Pacific,15,HI,Hawaii,105937,1911.9678925
WEST,Pacific,15,HI,Hawaii,115541,1509.9582461
WEST,Pacific,15,HI,Hawaii,111786,1879.3054538
WEST,Pacific,15,HI,Hawaii,107381,1592.9713979
WEST,Pacific,15,HI,Hawaii,111634,2132.8106585
WEST,Pacific,15,HI,Hawaii,113037,1622.4997024
WEST,Pacific,15,HI,Hawaii,113011,2003.4842648
WEST,Pacific,15,HI,Hawaii,115559,2261.3791499
WEST,Pacific,15,HI,Hawaii,112726,1749.2542985
WEST,Pacific,15,HI,Hawaii,103659,1411.1427415
WEST,Pacific,15,HI,Hawaii,112712,1854.0784806
WEST,Pacific,15,HI,Hawaii,103916,1622.4997024
WEST,Pacific,15,HI,Hawaii,113766,1888.0515897
WEST,Pacific,15,HI,Hawaii,113672,1490.6877996
WEST,Pacific,15,HI,Hawaii,117340,1626.3443921
WEST,Pacific,15,HI,Hawaii,113818,1349.2675052
WEST,Pacific,15,HI,Hawaii,102560,1415.298343
WEST,Pacific,15,HI,Hawaii,110445,1532.7889083
WEST,Pacific,15,HI,Hawaii,109336,1203.9336584
WEST,Pacific,15,HI,Hawaii,107482,1432.5943008
WEST,Pacific,15,HI,Hawaii,108454,1400.1211152
WEST,Pacific,15,HI,Hawaii,108213,969.99609192
WEST,Pacific,15,HI,Hawaii,102572,1444.115961
WEST,Pacific,15,HI,Hawaii,105364,2201.0538844
WEST,Pacific,15,HI,Hawaii,111539,1918.6498246
WEST,Pacific,15,HI,Hawaii,116480,1480.9899928
WEST,Pacific,15,HI,Hawaii,115994,1399.7628928
WEST,Pacific,15,HI,Hawaii,103297,2473.1883311
WEST,Pacific,15,HI,Hawaii,107910,2482.5683573
WEST,Pacific,15,HI,Hawaii,106984,1650.9711288
WEST,Pacific,15,HI,Hawaii,111441,1090.3665198
WEST,Pacific,15,HI,Hawaii,105045,972.77255343
WEST,Pacific,15,HI,Hawaii,101159,2288.5080745
WEST,Pacific,15,HI,Hawaii,105190,2052.8503222
WEST,Pacific,15,HI,Hawaii,109657,1450.8569799
WEST,Pacific,15,HI,Hawaii,117287,1749.1584555
WEST,Pacific,15,HI,Hawaii,114234,2203.5100535
WEST,Pacific,15,HI,Hawaii,105060,1573.2634005
WEST,Pacific,15,HI,Hawaii,110755,2018.952157
WEST,Pacific,15,HI,Hawaii,117215,1411.1427415
WEST,Pacific,15,HI,Hawaii,114051,859.41103421
WEST,Pacific,15,HI,Hawaii,100423,1490.6877996
WEST,Pacific,15,HI,Hawaii,115382,2589.6341031
WEST,Pacific,15,HI,Hawaii,100197,2003.4842648
WEST,Pacific,15,HI,Hawaii,105895,867.1273485
WEST,Pacific,15,HI,Hawaii,102008,1909.1976502
WEST,Pacific,15,HI,Hawaii,104063,2165.2463709
WEST,Pacific,15,HI,Hawaii,107452,2001.6564099
WEST,Pacific,15,HI,Hawaii,113394,1496.494977
WEST,Pacific,15,HI,Hawaii,111336,1435.7689338
WEST,Pacific,15,HI,Hawaii,100594,1435.2229817
WEST,Pacific,15,HI,Hawaii,107322,1589.8786836
WEST,Pacific,15,HI,Hawaii,106345,1888.0515897
WEST,Pacific,15,HI,Hawaii,114178,1576.0510606
WEST,Pacific,15,HI,Hawaii,107280,1357.9403443
WEST,Pacific,15,HI,Hawaii,108066,1159.6779828
WEST,Pacific,15,HI,Hawaii,106954,1889.6783475
WEST,Pacific,15,HI,Hawaii,113963,1327.1009032
WEST,Pacific,15,HI,Hawaii,108109,1237.3025233
WEST,Pacific,15,HI,Hawaii,108072,1655.797656
WEST,Pacific,15,HI,Hawaii,116669,1262.7665678
WEST,Pacific,15,HI,Hawaii,115029,1279.6916491
WEST,Pacific,15,HI,Hawaii,108003,1409.1010866
WEST,Pacific,15,HI,Hawaii,101717,1332.524277
WEST,Pacific,15,HI,Hawaii,107067,2191.0102557
WEST,Pacific,15,HI,Hawaii,114883,1275.1103951
WEST,Pacific,15,HI,Hawaii,117756,1183.7616928
WEST,Pacific,15,HI,Hawaii,117126,1662.9288017
WEST,Pacific,15,HI,Hawaii,107172,1542.7451011
WEST,Pacific,15,HI,Hawaii,117976,1979.1367079
WEST,Pacific,15,HI,Hawaii,106562,1815.1648675
WEST,Pacific,15,HI,Hawaii,110478,1675.962501
WEST,Pacific,15,HI,Hawaii,106510,1329.9517485
WEST,Pacific,15,HI,Hawaii,104084,2092.4181704
WEST,Pacific,15,HI,Hawaii,114806,2183.8072693
WEST,Pacific,15,HI,Hawaii,108475,2417.924293
WEST,Pacific,15,HI,Hawaii,117863,2550.8558687
WEST,Pacific,15,HI,Hawaii,114506,1247.5301645
WEST,Pacific,15,HI,Hawaii,116900,1619.8015382
WEST,Pacific,15,HI,Hawaii,110721,1438.3873122
WEST,Pacific,15,HI,Hawaii,107027,1827.2553941
WEST,Pacific,15,HI,Hawaii,108472,1863.7220508
WEST,Pacific,15,HI,Hawaii,101709,2245.4088364
WEST,Pacific,15,HI,Hawaii,108704,2504.9012917
WEST,Pacific,15,HI,Hawaii,114667,1235.6089923
WEST,Pacific,15,HI,Hawaii,110878,1456.7248577
WEST,Pacific,15,HI,Hawaii,113488,2331.1857884
WEST,Pacific,15,HI,Hawaii,111545,1471.3057766
WEST,Pacific,15,HI,Hawaii,103018,1124.3020373
WEST,Pacific,15,HI,Hawaii,117544,1883.8032369
WEST,Pacific,15,HI,Hawaii,107301,1416.1639469
WEST,Pacific,15,HI,Hawaii,116326,1579.8383727
WEST,Pacific,15,HI,Hawaii,111423,1795.4846221
WEST,Pacific,15,HI,Hawaii,108848,1637.4188403
WEST,Pacific,15,HI,Hawaii,101164,2003.4842648
WEST,Pacific,15,HI,Hawaii,106089,1761.834151
WEST,Pacific,15,HI,Hawaii,114323,1820.7671619
WEST,Pacific,15,HI,Hawaii,109792,1088.4984492
WEST,Pacific,15,HI,Hawaii,112526,1462.4105788
WEST,Pacific,15,HI,Hawaii,107051,1675.5821554
WEST,Pacific,15,HI,Hawaii,105751,1408.5783555
WEST,Pacific,15,HI,Hawaii,106897,1573.2634005
WEST,Pacific,15,HI,Hawaii,107982,734.50077071
WEST,Pacific,15,HI,Hawaii,117793,1248.756619
WEST,Pacific,15,HI,Hawaii,111428,2472.9497324
WEST,Pacific,15,HI,Hawaii,115097,1372.7672339
WEST,Pacific,15,HI,Hawaii,106016,1434.4325728
WEST,Pacific,15,HI,Hawaii,103569,1568.460291
WEST,Pacific,15,HI,Hawaii,107900,2320.2808069
WEST,Pacific,15,HI,Hawaii,112167,2242.477505
WEST,Pacific,15,HI,Hawaii,112430,1409.9646848
WEST,Pacific,15,HI,Hawaii,102294,938.71425175
WEST,Pacific,15,HI,Hawaii,100940,1353.0311282
WEST,Pacific,15,HI,Hawaii,113417,1848.3736911
WEST,Pacific,15,HI,Hawaii,107211,1727.0201929
WEST,Pacific,15,HI,Hawaii,105926,1451.4345982
WEST,Pacific,15,HI,Hawaii,107277,1369.3289475
WEST,Pacific,15,HI,Hawaii,109771,1327.1009032
WEST,Pacific,15,HI,Hawaii,102559,2233.4892161
WEST,Pacific,15,HI,Hawaii,108810,1456.7248577
WEST,Pacific,15,HI,Hawaii,115874,2008.6033211
WEST,Pacific,15,HI,Hawaii,118312,1438.3873122
