"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
2,3,65,50,67,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,105847,1915.0689155
3,3,70,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113595,9068.6712357
0,5,65,50,70,-2,-2,-2,-2,1,0,-2,0,-2,0,-2,0,111379,10246.970743
0,5,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107326,10127.747816
1,2,60,50,55,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,100453,1431.8211146
1,4,73,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,105007,7502.6790641
3,3,64,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107734,9149.3450428
1,4,60,50,55,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,111883,8312.3465074
2,2,50,50,68,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,1,106863,9030.6863746
3,3,68,51,56,3,73,78,66,0,0,0,0,0,0,0,0,117738,7705.060232
2,3,58,51,51,3,86,86,86,0,0,0,0,0,0,0,0,110835,2411.1957803
1,1,72,52,65,1,60,60,75,1,1,1,0,1,1,0,0,115766,8740.632804
3,3,65,52,60,3,65,82,62,0,0,1,0,0,0,0,0,108897,2421.7191207
3,2,68,52,54,4,68,75,72,0,0,0,0,0,0,0,0,110719,10297.817535
3,3,69,52,58,3,70,85,72,0,0,0,0,0,0,0,0,112572,5881.8780644
3,3,65,52,58,3,70,78,72,0,0,0,0,0,0,0,0,111318,4254.3770221
2,4,60,52,52,4,75,80,75,0,0,0,0,0,0,0,0,113549,9936.0823452
3,3,66,52,63,3,75,80,72,0,0,0,0,0,0,0,0,113210,1381.5204554
2,4,69,52,65,4,75,83,72,0,0,0,0,0,0,0,0,118451,6831.4467854
