NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Natural_Gas,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
1,-2,0,1255,-2,2243.4,0,1,0,0,0,1,0,0,0,0
2,2,0,1684,2,5899.28,1,0,0,0,1,0,0,0,0,0
2,2,0,4041,2,8089.84,0,0,1,0,0,0,0,0,0,1
3,2,0,1935,2,11681.84,1,0,0,0,0,1,0,0,1,0
2,5,0,959,4,5949.72,1,0,0,0,1,0,0,0,0,1
4,7,0,892,7,11223.81,0,0,1,0,1,0,0,0,1,0
2,1,0,1587,1,11350.74,0,0,1,0,0,1,0,0,0,0
3,6,0,1498,3,9656.65,1,0,0,0,0,1,0,0,0,0
1,-2,0,703,-2,3577.25,0,1,0,0,0,1,0,0,0,0
3,3,0,1711,3,5462.85,0,0,1,0,0,1,0,0,1,0
3,4,0,405,4,15540.12,0,0,1,0,0,1,0,0,0,0
4,4,0,1401,4,8642.62,0,0,1,0,0,1,0,0,0,0
2,4,0,1294,4,2419.28,0,0,1,0,0,1,0,0,0,1
1,-2,0,258,-2,2065.06,0,1,0,0,0,1,0,0,0,0
1,-2,0,1239,-2,2539.77,0,1,0,0,0,1,0,0,0,0
1,-2,0,1279,-2,2735.15,0,1,0,0,0,1,0,0,0,0
2,10,0,1384,10,12727.26,0,0,1,0,0,1,0,0,1,0
4,2,1,1110,2,4693.06,0,0,1,0,1,0,0,0,0,0
